"customer_id","recency","frequency","monetary","rfm_score","r_score","f_score","m_score","total_score","rfm_segmenting"
"3005","7","22","1650","555",5,5,5,15,"Loyalist"
"10659","7","7","53","521",5,2,1,8,"New Customer"
"8910","7","11","252","533",5,3,3,11,"Potential Loyalist"
"2930","7","18","1281","545",5,4,5,14,"Loyalist"
"10905","7","11","252","533",5,3,3,11,"Potential Loyalist"
"2711","6","4","31","511",5,1,1,7,"New Customer"
"4320","6","22","943","554",5,5,4,14,"Loyalist"
"3498","6","21","877","554",5,5,4,14,"Loyalist"
"2814","6","4","31","511",5,1,1,7,"New Customer"
"6343","6","22","1518","555",5,5,5,15,"Loyalist"
"10862","6","12","326","533",5,3,3,11,"Potential Loyalist"
"2870","6","15","502","533",5,3,3,11,"Potential Loyalist"
"10673","6","20","1416","555",5,5,5,15,"Loyalist"
"8545","6","16","1789","545",5,4,5,14,"Loyalist"
"7342","6","24","1072","554",5,5,4,14,"Loyalist"
"4198","6","3","25","511",5,1,1,7,"New Customer"
"10451","6","3","25","511",5,1,1,7,"New Customer"
"10814","6","24","1376","555",5,5,5,15,"Loyalist"
"8151","6","8","263","523",5,2,3,10,"Potential Loyalist"
"67","6","6","92","522",5,2,2,9,"Potential Loyalist"
"8275","6","3","20","511",5,1,1,7,"New Customer"
"9923","6","6","92","522",5,2,2,9,"Potential Loyalist"
"944","6","13","393","533",5,3,3,11,"Potential Loyalist"
"8799","6","8","153","522",5,2,2,9,"Potential Loyalist"
"6184","6","14","1670","535",5,3,5,13,"Big Spender"
"1911","6","28","1364","555",5,5,5,15,"Loyalist"
"830","5","14","1658","535",5,3,5,13,"Big Spender"
"6678","5","7","72","522",5,2,2,9,"Potential Loyalist"
"4211","5","5","57","522",5,2,2,9,"Potential Loyalist"
"10089","5","28","1112","554",5,5,4,14,"Loyalist"
"6770","5","5","68","522",5,2,2,9,"Potential Loyalist"
"10641","5","6","57","522",5,2,2,9,"Potential Loyalist"
"10356","5","4","32","511",5,1,1,7,"New Customer"
"1031","5","25","1062","554",5,5,4,14,"Loyalist"
"9323","5","22","874","554",5,5,4,14,"Loyalist"
"1146","5","22","874","554",5,5,4,14,"Loyalist"
"2261","5","3","16","511",5,1,1,7,"New Customer"
"6365","5","5","80","512",5,1,2,8,"New Customer"
"9256","5","23","1001","554",5,5,4,14,"Loyalist"
"1407","5","5","57","522",5,2,2,9,"Potential Loyalist"
"624","5","3","35","511",5,1,1,7,"New Customer"
"11084","4","15","1053","544",5,4,4,13,"Loyalist"
